Rep,Compound,Area,Cruise
220623_Smp_MU3_B,"DL-Histidine, 15N",18431944,KM1906
220623_Smp_MU3_C,"DL-Histidine, 15N",87275696,KM1906
220623_Smp_MU4_A,"DL-Histidine, 15N",64522464,KM1906
220623_Smp_MU4_B,"DL-Histidine, 15N",31092778,KM1906
220623_Smp_MU4_C,"DL-Histidine, 15N",30103148,KM1906
220623_Smp_MU5_A,"DL-Histidine, 15N",22282188,KM1906
220623_Smp_MU5_B,"DL-Histidine, 15N",25982788,KM1906
220623_Smp_MU5_C,"DL-Histidine, 15N",75046608,KM1906
220623_Smp_MU6_A,"DL-Histidine, 15N",19930106,KM1906
220623_Smp_MU6_B,"DL-Histidine, 15N",15231288,KM1906
220623_Smp_MU6_C,"DL-Histidine, 15N",63568496,KM1906
220623_Smp_MU7_A,"DL-Histidine, 15N",20492426,KM1906
220623_Smp_MU7_B,"DL-Histidine, 15N",62307244,KM1906
220623_Smp_MU7_C,"DL-Histidine, 15N",29173020,KM1906
220623_Smp_MU8_A,"DL-Histidine, 15N",23703794,KM1906
220623_Smp_MU8_B,"DL-Histidine, 15N",91017896,KM1906
220623_Smp_MU8_C,"DL-Histidine, 15N",8417706,KM1906
220623_Smp_MU9_A,"DL-Histidine, 15N",26772742,KM1906
220623_Smp_MU9_B,"DL-Histidine, 15N",15722955,KM1906
220623_Smp_MU9_C,"DL-Histidine, 15N",12372627,KM1906
220623_Std_4uMStdsMix1InH2O_1,"DL-Proline, 2H7",NA,KM1906
220623_Std_4uMStdsMix1InH2O_2,"DL-Proline, 2H7",NA,KM1906
220623_Std_4uMStdsMix1InMatrix_1,"DL-Proline, 2H7",35726512,KM1906
220623_Std_4uMStdsMix1InMatrix_2,"DL-Proline, 2H7",43990232,KM1906
220623_Std_4uMStdsMix2InH2O_1,"DL-Proline, 2H7",NA,KM1906
220623_Std_4uMStdsMix2InH2O_2,"DL-Proline, 2H7",NA,KM1906
220623_Std_4uMStdsMix2InMatrix_1,"DL-Proline, 2H7",43049432,KM1906
220623_Std_4uMStdsMix2InMatrix_2,"DL-Proline, 2H7",50938172,KM1906
220623_Std_H2OinMatrix_1,"DL-Proline, 2H7",43619632,KM1906
220623_Std_H2OinMatrix_2,"DL-Proline, 2H7",50598184,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,"DL-Proline, 2H7",70785040,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,"DL-Proline, 2H7",67451432,KM1906
