Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av
220623_Smp_MU10_A,MU10,A,KM1906,Homarine,105409800,NA,NA,NA
220623_Smp_MU10_B,MU10,B,KM1906,Homarine,142434768,NA,NA,NA
220623_Smp_MU10_C,MU10,C,KM1906,Homarine,224732512,NA,NA,NA
220623_Smp_MU11_A,MU11,A,KM1906,Homarine,100057056,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,Homarine,178330272,NA,NA,NA
220623_Smp_MU11_C,MU11,C,KM1906,Homarine,146222320,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,Homarine,1716863872,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,Homarine,512983776,NA,NA,NA
220623_Smp_MU12_C,MU12,C,KM1906,Homarine,1523890432,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,Homarine,5902523,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,Homarine,6269932,NA,NA,NA
220623_Smp_MU13_C,MU13,C,KM1906,Homarine,6633335,NA,NA,NA
220623_Smp_MU14_A,MU14,A,KM1906,Homarine,85990192,NA,NA,NA
220623_Smp_MU14_B,MU14,B,KM1906,Homarine,59403912,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,Homarine,49432024,NA,NA,NA
220623_Smp_MU15_A,MU15,A,KM1906,Homarine,33253016,NA,NA,NA
220623_Smp_MU15_B,MU15,B,KM1906,Homarine,91948864,NA,NA,NA
220623_Smp_MU15_C,MU15,C,KM1906,Homarine,56067724,NA,NA,NA
220623_Smp_MU16_A,MU16,A,KM1906,Homarine,171461952,NA,NA,NA
220623_Smp_MU16_B,MU16,B,KM1906,Homarine,134309552,NA,NA,NA
220623_Smp_MU16_C,MU16,C,KM1906,Homarine,88662880,NA,NA,NA
220623_Smp_MU17_A,MU17,A,KM1906,Homarine,33690268,NA,NA,NA
220623_Smp_MU17_B,MU17,B,KM1906,Homarine,36877488,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,Homarine,8151166,NA,NA,NA
220623_Smp_MU2_B,MU2,B,KM1906,Homarine,14265969,NA,NA,NA
