Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag
220628_Smp_MU8_C,MU8,C,KM1906,Dimethylsulfonioacetate,1002245888,NA,NA
220628_Smp_MU9_A,MU9,A,KM1906,Dimethylsulfonioacetate,699714176,NA,NA
220628_Smp_MU9_B,MU9,B,KM1906,Dimethylsulfonioacetate,905548224,NA,NA
220628_Smp_MU9_C,MU9,C,KM1906,Dimethylsulfonioacetate,844836480,NA,NA
220628_Smp_MU1_A,MU1,A,KM1906,Dimethylsulfoniopropionate,2914172672,NA,NA
220628_Smp_MU1_B,MU1,B,KM1906,Dimethylsulfoniopropionate,1552225280,NA,NA
220628_Smp_MU1_C,MU1,C,KM1906,Dimethylsulfoniopropionate,373117440,NA,NA
220628_Smp_MU10_A,MU10,A,KM1906,Dimethylsulfoniopropionate,5387837440,NA,NA
220628_Smp_MU10_B,MU10,B,KM1906,Dimethylsulfoniopropionate,3883498752,NA,NA
220628_Smp_MU10_C,MU10,C,KM1906,Dimethylsulfoniopropionate,2261560064,NA,NA
220628_Smp_MU11_A,MU11,A,KM1906,Dimethylsulfoniopropionate,306260416,NA,NA
220628_Smp_MU11_B,MU11,B,KM1906,Dimethylsulfoniopropionate,881339968,NA,NA
220628_Smp_MU11_C,MU11,C,KM1906,Dimethylsulfoniopropionate,415257984,NA,NA
220628_Smp_MU14_A,MU14,A,KM1906,Dimethylsulfoniopropionate,532258976,NA,NA
220628_Smp_MU14_B,MU14,B,KM1906,Dimethylsulfoniopropionate,1288058752,NA,NA
220628_Smp_MU14_C,MU14,C,KM1906,Dimethylsulfoniopropionate,957764800,NA,NA
220628_Smp_MU15_A,MU15,A,KM1906,Dimethylsulfoniopropionate,824182080,NA,NA
220628_Smp_MU15_B,MU15,B,KM1906,Dimethylsulfoniopropionate,1433755136,NA,NA
220628_Smp_MU15_C,MU15,C,KM1906,Dimethylsulfoniopropionate,971613632,NA,NA
220628_Smp_MU16_A,MU16,A,KM1906,Dimethylsulfoniopropionate,131714712,NA,NA
220628_Smp_MU16_B,MU16,B,KM1906,Dimethylsulfoniopropionate,2161200128,NA,NA
220628_Smp_MU16_C,MU16,C,KM1906,Dimethylsulfoniopropionate,1068780736,NA,NA
220628_Smp_MU17_A,MU17,A,KM1906,Dimethylsulfoniopropionate,308913440,NA,NA
220628_Smp_MU17_B,MU17,B,KM1906,Dimethylsulfoniopropionate,351889664,NA,NA
220628_Smp_MU17_C,MU17,C,KM1906,Dimethylsulfoniopropionate,1166060288,NA,NA
220628_Smp_MU18_A,MU18,A,KM1906,Dimethylsulfoniopropionate,984047872,NA,NA
220628_Smp_MU18_B,MU18,B,KM1906,Dimethylsulfoniopropionate,5190036992,NA,NA
220628_Smp_MU18_C,MU18,C,KM1906,Dimethylsulfoniopropionate,3163185152,NA,NA
220628_Smp_MU19_A,MU19,A,KM1906,Dimethylsulfoniopropionate,543143872,NA,NA
220628_Smp_MU19_B,MU19,B,KM1906,Dimethylsulfoniopropionate,277744544,NA,NA
220628_Smp_MU19_C,MU19,C,KM1906,Dimethylsulfoniopropionate,598596416,NA,NA
220628_Smp_MU2_A,MU2,A,KM1906,Dimethylsulfoniopropionate,49313264,NA,NA
220628_Smp_MU2_B,MU2,B,KM1906,Dimethylsulfoniopropionate,636669504,NA,NA
220628_Smp_MU2_C,MU2,C,KM1906,Dimethylsulfoniopropionate,405162528,NA,NA
220628_Smp_MU20_A,MU20,A,KM1906,Dimethylsulfoniopropionate,310819840,NA,NA
220628_Smp_MU20_B,MU20,B,KM1906,Dimethylsulfoniopropionate,2225169920,NA,NA
220628_Smp_MU20_C,MU20,C,KM1906,Dimethylsulfoniopropionate,674447232,NA,NA
220628_Smp_MU21_A,MU21,A,KM1906,Dimethylsulfoniopropionate,205629856,NA,NA
220628_Smp_MU21_B,MU21,B,KM1906,Dimethylsulfoniopropionate,1026675648,NA,NA
220628_Smp_MU21_C,MU21,C,KM1906,Dimethylsulfoniopropionate,220101600,NA,NA
220628_Smp_MU22_A,MU22,A,KM1906,Dimethylsulfoniopropionate,385811072,NA,NA
220628_Smp_MU22_B,MU22,B,KM1906,Dimethylsulfoniopropionate,253221936,NA,NA
220628_Smp_MU22_C,MU22,C,KM1906,Dimethylsulfoniopropionate,896772096,NA,NA
220628_Smp_MU23_A,MU23,A,KM1906,Dimethylsulfoniopropionate,374450016,NA,NA
220628_Smp_MU23_B,MU23,B,KM1906,Dimethylsulfoniopropionate,820714880,NA,NA
220628_Smp_MU23_C,MU23,C,KM1906,Dimethylsulfoniopropionate,971577792,NA,NA
220628_Smp_MU24_A,MU24,A,KM1906,Dimethylsulfoniopropionate,315005920,NA,NA
220628_Smp_MU24_B,MU24,B,KM1906,Dimethylsulfoniopropionate,959002816,NA,NA
